clip_id,rep,opponent,party,out_party,total_words,words_per_second,approve_location,rep_count,opponent_count,party_count,out_party_count,trump_count,rep_locations,opponent_locations,party_locations,out_party_locations,trump_locations
00180,elisestefanik,tedracobb,republican,democrat,93,3.1,23.870967741935484,2,2,0,0,0,"[15.64516129032258, 23.064516129032256]","[9.838709677419354, 14.35483870967742]",[],[],[]
00181,elisestefanik,tedracobb,republican,democrat,97,3.2333333333333334,22.886597938144327,2,2,0,0,0,"[16.54639175257732, 22.113402061855673]","[0.15463917525773196, 12.835051546391751]",[],[],[]
00182,elisestefanik,mikederrick,republican,democrat,81,2.7,25.185185185185183,1,0,0,0,0,[24.25925925925926],[],[],[],[]
00183,elisestefanik,mikederrick,republican,democrat,85,2.8333333333333335,24.0,2,0,0,0,0,"[4.764705882352941, 23.11764705882353]",[],[],[],[]
00184,elisestefanik,mikederrick,republican,democrat,99,3.3,25.454545454545457,2,0,0,0,0,"[0.4545454545454546, 24.696969696969695]",[],[],[],[]
00185,elisestefanik,mikederrick,republican,democrat,78,2.6,27.692307692307693,3,1,0,0,0,"[19.038461538461537, 24.03846153846154, 26.730769230769234]",[10.576923076923078],[],[],[]
00186,elisestefanik,mikederrick,republican,democrat,81,2.7,28.51851851851852,3,1,1,1,0,"[19.074074074074076, 25.0, 27.59259259259259]",[5.37037037037037],[8.148148148148147],[8.88888888888889],[]
00187,elisestefanik,mikederrick,republican,democrat,76,2.533333333333333,27.63157894736842,1,0,0,0,0,[26.644736842105264],[],[],[],[]
00188,elisestefanik,mikederrick,republican,democrat,84,2.8,27.857142857142858,1,0,0,0,0,[26.964285714285715],[],[],[],[]
00190,elisestefanik,aaronwoolf,republican,democrat,85,2.8333333333333335,26.11764705882353,1,0,0,0,0,[25.588235294117645],[],[],[],[]
00191,elisestefanik,aaronwoolf,republican,democrat,95,3.1666666666666665,26.210526315789476,2,0,0,0,0,"[0.4736842105263158, 25.421052631578945]",[],[],[],[]
00193,elisestefanik,aaronwoolf,republican,democrat,86,2.8666666666666667,27.55813953488372,1,0,0,0,0,[26.686046511627907],[],[],[],[]
00194,elisestefanik,aaronwoolf,republican,democrat,99,3.3,1.2121212121212122,1,0,0,0,0,[0.4545454545454546],[],[],[],[]
00196,elisestefanik,aaronwoolf,republican,democrat,86,2.8666666666666667,,2,0,0,0,0,"[0.5232558139534884, 26.337209302325583]",[],[],[],[]
00198,elisestefanik,aaronwoolf,republican,democrat,84,2.8,25.0,2,0,0,0,0,"[0.5357142857142857, 24.464285714285715]",[],[],[],[]
00200,elisestefanik,aaronwoolf,republican,democrat,99,3.3,23.030303030303028,2,0,0,0,0,"[4.090909090909091, 22.272727272727273]",[],[],[],[]
00205,marcykaptur,derekmerrin,democrat,republican,80,2.6666666666666665,27.75,3,0,0,0,0,"[1.3125, 24.5625, 26.8125]",[],[],[],[]
00206,marcykaptur,derekmerrin,democrat,republican,76,2.533333333333333,26.05263157894737,0,0,0,0,1,[],[],[],[],[7.105263157894736]
00208,marcykaptur,derekmerrin,democrat,republican,86,2.8666666666666667,27.906976744186046,1,0,0,0,0,[27.034883720930235],[],[],[],[]
00209,marcykaptur,derekmerrin,democrat,republican,87,2.9,27.24137931034483,3,0,0,0,1,"[0.1724137931034483, 24.310344827586206, 26.379310344827587]",[],[],[],[10.689655172413794]
00210,marcykaptur,derekmerrin,democrat,republican,99,3.3,16.96969696969697,0,0,0,0,0,[],[],[],[],[]
00211,marcykaptur,derekmerrin,democrat,republican,81,2.7,28.51851851851852,2,0,0,0,0,"[25.37037037037037, 27.59259259259259]",[],[],[],[]
00212,marcykaptur,derekmerrin,democrat,republican,81,2.7,27.77777777777778,2,0,0,0,0,"[3.148148148148148, 26.85185185185185]",[],[],[],[]
00213,marcykaptur,derekmerrin,democrat,republican,80,2.6666666666666665,22.125,0,0,0,0,0,[],[],[],[],[]
